id,sweep_init_time,pop_radius_at_sweep_init
000001C2bb,0,0
000001C2ab,0,0
000001C3bb,0,0
000001C3ab,0,0
000001C4bb,0,0
000001C4ab,0,0
000001C5bb,0,0
000001C5b,188.687485,25.39479926
000001C5bb,0,0
000001C6b,0,0
000001C6bb,0,0
000001C7b,0,0
000001C7bb,724.316101,84.55129646
000001C7ab,0,0
000001C8bb,0,0
000001C8ab,0,0
000001C9bb,0,0
000001C9ab,0,0
000001CAbb,0,0
000001CAab,0,0
000001CBbb,0,0
000001CBab,0,0
000001CCbb,0,0
000001CCab,0,0
000001CDbb,0,0
000001CDab,0,0
000001CEbb,0,0
000001CEab,0,0
000001CFbb,0,0
000001CFab,0,0
000001D0bb,0,0
000001D0b,227.556503,27.99426619
000001D0bb,721.615601,101.4098408
000001D0ab,0,0
000001D1bb,0,0
000001D1ab,0,0
000001D2bb,0,0
000001D2ab,0,0
000001D3bb,0,0
000001D3b,667.148376,90.62577825
000001D3bb,778.422241,106.5646447
000001D3ab,0,0
000001D4bb,0,0
000001D4b,478.88974,65.07285468
000001D4bb,0,0
000001D5b,0,0
000001D5bb,0,0
000001D6b,0,0
000001D6bb,0,0
000001D7b,0,0
000001D7bb,244.142563,24.4301256
000001D7ab,0,0
000001D8bb,0,0
000001D8ab,0,0
000001D8bb,489.098053,61.30225539
000001D9b,0,0
000001D9bb,0,0
000001DAb,0,0
000001DAbb,0,0
000001DAab,75.699432,8.156394192
000001DBbb,0,0
000001DBab,0,0
000001DCbb,0,0
000001DCab,0,0
000001DDbb,0,0
000001DDab,0,0
000001DEbb,0,0
000001DEb,290.528748,34.87494911
000001DEbb,0,0
000001DFb,0,0
000001DFbb,0,0
000001E0b,0,0
000001E0bb,0,0
000001E0ab,366.759186,48.59896455
000001E1bb,0,0
000001E1ab,0,0
000001E2bb,0,0
000001E2ab,0,0
000001E2bb,423.205627,53.26738519
000001E3b,0,0
000001E3bb,409.632538,48.92535482
000001E3ab,0,0
000001E4bb,0,0
000001E4ab,0,0
000001E5bb,0,0
000001E5ab,0,0
000001E6bb,0,0
000001E6ab,0,0
000001E7bb,0,0
000001E7ab,0,0
000001E8bb,0,0
000001E8ab,0,0
000001E9bb,0,0
000001E9b,318.226318,30.03481675
000001E9bb,0,0
000001E9ab,298.166107,32.00004537
000001E9bb,723.437988,91.36039533
000001EAb,0,0
000001EAbb,0,0
000001EBb,0,0
000001EBbb,0,0
000001ECb,0,0
000001ECbb,0,0
000001EDb,0,0
000001EDbb,0,0
000001EEb,0,0
000001EEbb,0,0
000001EFb,0,0
000001EFbb,0,0
000001F0b,0,0
000001F0bb,0,0
000001F1b,0,0
000001F1bb,452.810638,52.11047533
000001F1ab,0,0
000001F1bb,86.067772,8.11727457
000001F2b,0,0
000001F2bb,0,0
000001F3b,0,0
000001F3bb,230.899002,28.27710088
000001F3ab,0,0
