,index,log2_deme,migration_rate,normal_birth_rate
650,00000776,6,1.0,0.71428571428
651,0000014D,2,0.01,0.90909090909
652,000001F5,2,0.25,0.83333333333
653,000008F7,8,0.025,0.90909090909
654,00000025,1,0.01,0.71428571428
655,000009E1,8,1.0,0.95238095238
656,000002A7,3,0.01,0.71428571428
657,000009FB,8,1.0,0.71428571428
658,000001C9,2,0.1,0.90909090909
659,00000993,8,0.5,0.90909090909
660,00000977,8,0.25,0.83333333333
661,00000689,6,0.025,0.71428571428
662,00000126,1,1.0,0.90909090909
663,00000671,6,0.025,0.95238095238
664,0000046A,4,0.25,0.90909090909
665,0000072F,6,0.5,0.71428571428
666,00000393,3,0.75,0.71428571428
667,0000088A,7,0.75,0.83333333333
668,000002AF,3,0.025,0.95238095238
669,000002B5,3,0.025,0.90909090909
670,00000253,2,0.75,0.71428571428
671,000007C9,7,0.025,0.71428571428
672,000009AB,8,0.5,0.71428571428
673,0000079C,7,0.01,0.83333333333
674,000003F1,4,0.025,0.95238095238
675,0000069D,6,0.05,0.90909090909
676,0000040E,4,0.025,0.71428571428
677,0000095D,8,0.1,0.71428571428
678,0000002B,1,0.025,0.95238095238
679,00000981,8,0.25,0.71428571428
680,00000982,8,0.25,0.71428571428
681,000003D3,4,0.01,0.90909090909
682,00000666,6,0.01,0.71428571428
683,00000254,2,0.75,0.71428571428
684,000005D2,5,0.5,0.90909090909
685,00000672,6,0.025,0.90909090909
686,00000242,2,0.75,0.90909090909
687,000001C0,2,0.1,0.95238095238
688,000002EE,3,0.05,0.71428571428
689,00000712,6,0.5,0.90909090909
690,000008C4,8,0.01,0.95238095238
691,00000437,4,0.05,0.71428571428
692,000000A5,1,0.25,0.95238095238
693,000003A0,3,1.0,0.95238095238
694,0000033B,3,0.25,0.83333333333
695,0000076A,6,1.0,0.90909090909
696,000008F9,8,0.025,0.90909090909
697,00000624,5,1.0,0.90909090909
698,000003C9,4,0.01,0.95238095238
699,0000096C,8,0.25,0.90909090909
700,000004B7,4,0.75,0.95238095238
701,0000015A,2,0.01,0.83333333333
702,000007D4,7,0.05,0.95238095238
703,0000067D,6,0.025,0.83333333333
704,000000C2,1,0.25,0.71428571428
705,0000074B,6,0.75,0.83333333333
