,index,log2_deme,migration_rate,s_driver_birth
789,000006FA,2,0.01,0.2
790,00000EB6,3,0.05,0.4
791,00000EA6,3,0.05,0.5
792,000019EA,5,0.025,1.7
793,0000017F,1,0.025,0.2
794,0000070B,2,0.025,2.0
795,000002FF,1,0.1,0.4
796,00000D58,3,0.025,1.9
797,000023AB,6,0.5,0.7
798,00000C07,2,1.0,1.3
799,00000D63,3,0.025,1.8
800,00001269,3,1.0,0.9
801,0000057D,1,1.0,2.0
802,0000108D,3,0.5,1.7
803,00001813,4,0.75,0.4
804,000021A7,6,0.1,1.9
805,00002A40,7,0.75,1.9
806,00001D19,5,0.5,1.6
807,00000601,1,1.0,0.7
808,00001481,4,0.05,1.6
809,00000518,1,0.75,1.0
810,00002390,6,0.5,1.0
811,00001371,4,0.01,0.3
812,00002C47,8,0.01,0.7
813,000015E1,4,0.25,2.0
814,00002A92,7,0.75,1.1
815,000007A4,2,0.025,0.5
816,00000D62,3,0.025,1.8
