,index,mu_driver_birth,s_driver_birth
476,000000EDbb,1e-05,0.05
477,000000EEb,1e-05,0.05
478,000000EEbb,1e-05,0.05
479,000000EFb,1e-05,0.05
480,000000EFbb,1e-05,0.05
481,000000F0b,1e-05,0.05
482,000000F0bb,1e-05,0.05
483,000000F1b,1e-05,0.05
484,000000F1bb,1e-05,0.05
485,000000F2b,1e-05,0.05
486,000000F2bb,1e-05,0.05
487,000000F3b,1e-05,0.05
488,000000F3bb,1e-05,0.05
489,000000F4b,1e-05,0.05
490,000000F4bb,1e-05,0.05
491,000000F5b,1e-05,0.05
492,000000F5bb,1e-05,0.05
493,000000F6b,1e-05,0.05
494,000000F6bb,1e-05,0.05
495,000000F7b,1e-05,0.05
496,000000F7bb,1e-05,0.05
497,000000F8b,1e-05,0.05
498,000000F8bb,1e-05,0.05
499,000000F9b,1e-05,0.05
500,000000F9bb,1e-05,0.05
501,000000Fbb,1e-05,0.05
502,000000Fbbb,1e-05,0.05
503,000000FBb,1e-05,0.05
504,000000FBbb,1e-05,0.05
505,000000FCb,1e-05,0.05
506,000000FCbb,1e-05,0.05
507,000000FDb,1e-05,0.05
508,000000FDbb,1e-05,0.05
509,000000FEb,1e-05,0.05
510,000000FEbb,1e-05,0.05
511,000000FFb,1e-05,0.05
512,000000FFbb,1e-05,0.05
513,00000100b,1e-05,0.05
514,00000100bb,1e-05,0.05
515,00000101b,1e-05,0.05
516,00000101bb,1e-05,0.05
517,00000102b,1e-05,0.05
518,00000102bb,1e-05,0.05
519,00000103b,1e-05,0.05
520,00000103bb,1e-05,0.05
521,00000104b,1e-05,0.05
522,00000104bb,1e-05,0.05
523,00000105b,1e-05,0.05
524,00000105bb,1e-05,0.05
525,00000106b,1e-05,0.05
526,00000106bb,1e-05,0.05
527,00000107b,1e-05,0.05
528,00000107bb,1e-05,0.05
529,00000108b,1e-05,0.05
530,00000108bb,1e-05,0.05
531,00000109b,1e-05,0.05
532,00000109bb,1e-05,0.05
533,0000010bb,1e-05,0.05
534,0000010bbb,1e-05,0.05
535,0000010Bb,1e-05,0.05
536,0000010Bbb,1e-05,0.05
537,0000010Cb,1e-05,0.05
538,0000010Cbb,1e-05,0.05
539,0000010Db,1e-05,0.05
540,0000010Dbb,1e-05,0.05
541,0000010Eb,1e-05,0.05
542,0000010Ebb,1e-05,0.05
543,0000010Fb,1e-05,0.05
544,0000010Fbb,1e-05,0.05
545,00000110b,1e-05,0.05
546,00000110bb,1e-05,0.05
547,00000111b,1e-05,0.05
548,00000111bb,1e-05,0.05
549,00000112b,1e-05,0.05
550,00000112bb,1e-05,0.05
