,index,mu_driver_birth,s_driver_birth
778,00000309a,1e-05,0.15
779,0000030Aa,1e-05,0.15
780,0000030Ba,1e-05,0.15
781,0000030Ca,1e-05,0.15
782,0000030Da,1e-05,0.15
783,0000030Ea,1e-05,0.15
784,0000030Fa,1e-05,0.15
785,00000310a,1e-05,0.15
786,00000311a,1e-05,0.15
787,00000312a,1e-05,0.15
788,00000313a,1e-05,0.15
789,00000314a,1e-05,0.15
790,00000315a,1e-05,0.15
791,00000316a,1e-05,0.15
792,00000317a,1e-05,0.15
793,00000318a,1e-05,0.15
794,00000319a,1e-05,0.15
795,0000031Aa,1e-05,0.15
796,0000031Ba,1e-05,0.15
797,0000031Ca,1e-05,0.15
798,0000031Da,1e-05,0.15
799,0000031Ea,1e-05,0.15
800,0000031Fa,1e-05,0.15
801,00000320a,1e-05,0.15
802,00000321a,1e-05,0.15
803,00000322a,1e-05,0.15
804,00000323a,1e-05,0.15
805,00000324a,1e-05,0.15
806,00000325a,1e-05,0.15
807,00000326a,1e-05,0.15
808,00000327a,1e-05,0.15
809,00000328a,1e-05,0.15
810,00000329a,1e-05,0.15
811,0000032Aa,1e-05,0.15
812,0000032Ba,1e-05,0.15
813,0000032Ca,1e-05,0.15
814,0000032Da,1e-05,0.15
815,0000032Ea,1e-05,0.15
816,0000032Fa,1e-05,0.15
817,00000330a,1e-05,0.15
818,00000331a,1e-05,0.15
819,00000332a,1e-05,0.15
820,00000333a,1e-05,0.15
821,00000334a,1e-05,0.15
822,00000335a,1e-05,0.15
823,00000336a,1e-05,0.15
824,00000337a,1e-05,0.15
825,00000338a,1e-05,0.15
826,00000339a,1e-05,0.15
