,id,speed_early,speed_late
2556,000009FB,0.370316352,0.374044625
2557,000009FC,0.367079737,0.371965096
2558,000009FD,0.361933795,0.378414032
2559,000009FE,0.376823776,0.373586452
2560,000009FF,0.376801586,0.375074443
2561,00000A00,0.312285666,0.31463399
2562,00000A01,0.312507369,0.314083201
2563,00000A02,0.320205392,0.315763715
2564,00000A03,0.298902696,0.319009829
2565,00000A04,0.316284525,0.320177922
2566,00000A05,0.310804612,0.320860883
2567,00000A06,0.312263884,0.319947863
2568,00000A07,0.298394391,0.317799648
2569,00000A08,0.318499667,0.318864045
2570,00000A09,0.319611496,0.318217506
2571,00000A0A,0.241825659,0.25819109
2572,00000A0B,0.252305544,0.265498514
2573,00000A0C,0.251978622,0.256259234
2574,00000A0D,0.258607338,0.257231379
2575,00000A0E,0.259156383,0.25806446
2576,00000A0F,0.254340979,0.261366405
2577,00000A10,0.245512618,0.263225681
2578,00000A11,0.257893315,0.257988721
2579,00000A12,0.248846578,0.261482849
2580,00000A13,0.261160926,0.265250888
2581,00000A14,0.193502259,0.195618057
2582,00000A15,0.191303844,0.198753181
2583,00000A16,0.187207772,0.197583237
2584,00000A17,0.190078289,0.192972458
2585,00000A18,0.199674626,0.194331025
2586,00000A19,0.192935718,0.198638996
2587,00000A1A,0.19605666,0.195056548
2588,00000A1B,0.182181448,0.197308682
2589,00000A1C,0.182086714,0.198358942
2590,00000A1D,0.191990907,0.197588962
2591,00000A1E,0.123683803,0.128779778
2592,00000A1F,0.119643284,0.132131913
2593,00000A20,0.126016612,0.126252957
2594,00000A21,0.123648723,0.123399491
2595,00000A22,0.122006733,0.127748451
2596,00000A23,0.12206247,0.125846012
2597,00000A24,0.124711345,0.127695133
2598,00000A25,0.130143138,0.127547637
2599,00000A26,0.117567489,0.126365361
2600,00000A27,0.136938199,0.126995524
2601,00000A28,1.838623814,1.894812422
2602,00000A29,1.879916761,1.890336135
2603,00000A2A,1.935429434,1.881800675
2604,00000A2B,1.849602397,1.879712033
2605,00000A2C,1.837153716,1.864159068
2606,00000A2D,1.862281895,1.886599657
2607,00000A2E,1.914242584,1.905334518
2608,00000A2F,1.864563977,1.886086332
2609,00000A30,1.897081926,1.873827272
2610,00000A31,1.891166475,1.901698909
2611,00000A32,1.77353953,1.801770514
2612,00000A33,1.751415103,1.821057713
2613,00000A34,1.814558964,1.815908696
2614,00000A35,1.713534971,1.798739299
2615,00000A36,1.724677369,1.817994156
2616,00000A37,1.794938397,1.816734976
2617,00000A38,1.745113659,1.809278304
2618,00000A39,1.728921961,1.793322038
2619,00000A3A,1.764518197,1.809706522
2620,00000A3B,1.772295728,1.800122608
2621,00000A3C,1.74651058,1.743462579
2622,00000A3D,1.775301905,1.748873373
2623,00000A3E,1.726741657,1.735448422
2624,00000A3F,1.713917728,1.711388167
2625,00000A40,1.706165451,1.715970066
2626,00000A41,1.702003475,1.70872438
2627,00000A42,1.710397916,1.709098122
2628,00000A43,1.74300547,1.703793971
2629,00000A44,1.666811687,1.72624164
2630,00000A45,1.61854327,1.717179296
2631,00000A46,1.627198882,1.642030933
2632,00000A47,1.690166143,1.631805324
2633,00000A48,1.572549742,1.641153649
2634,00000A49,1.604009419,1.648312343
2635,00000A4A,1.652648287,1.651311299
2636,00000A4B,1.63240149,1.639481372
2637,00000A4C,1.637194882,1.626914591
2638,00000A4D,1.609716512,1.643128384
2639,00000A4E,1.637211866,1.636151474
2640,00000A4F,1.622383016,1.626523093
2641,00000A50,1.52244049,1.553555648
2642,00000A51,1.531262919,1.555354726
2643,00000A52,1.505561857,1.571451727
2644,00000A53,1.516510321,1.557108141
2645,00000A54,1.516798505,1.563198319
2646,00000A55,1.489349558,1.561156651
2647,00000A56,1.544586198,1.578121677
